baratheon	greyjoy	lannister	martell	stark	targaryen	tyrell	time	episode	season
0	0	1	0	1	0	0	3	9	1
3	0	3	0	0	0	0	4	9	1
0	0	0	0	0	0	0	5	9	1
0	0	0	0	0	0	0	6	9	1
0	0	1	0	0	0	0	7	9	1
0	0	0	0	0	0	0	8	9	1
0	0	0	0	0	0	0	9	9	1
0	0	0	0	0	0	0	10	9	1
0	0	2	0	0	1	0	11	9	1
0	0	0	0	0	0	0	12	9	1
0	0	1	0	0	0	0	13	9	1
0	0	0	0	0	0	0	14	9	1
0	0	0	0	1	1	0	15	9	1
0	0	0	0	1	0	0	16	9	1
0	0	0	0	0	0	0	17	9	1
0	0	0	0	0	0	0	18	9	1
0	0	0	0	0	0	0	19	9	1
0	0	0	0	1	0	0	20	9	1
0	0	0	0	0	3	0	21	9	1
0	0	0	0	0	0	0	22	9	1
0	0	0	0	0	0	0	23	9	1
0	0	0	0	0	0	0	24	9	1
0	0	0	0	0	0	0	25	9	1
0	0	0	0	0	0	0	26	9	1
0	0	0	0	0	0	0	27	9	1
0	0	0	0	0	0	0	28	9	1
0	0	0	0	0	2	0	29	9	1
0	0	0	0	0	2	0	30	9	1
0	0	0	0	0	0	0	31	9	1
0	0	0	0	0	0	0	32	9	1
0	0	0	0	0	2	0	33	9	1
0	0	0	0	0	1	0	34	9	1
0	0	0	0	0	1	0	35	9	1
0	0	0	0	0	0	0	36	9	1
0	0	0	0	0	0	0	37	9	1
0	0	0	0	0	0	0	38	9	1
0	0	0	0	0	0	0	39	9	1
0	0	0	0	0	0	0	40	9	1
0	0	1	0	0	0	0	41	9	1
0	0	2	0	0	0	0	42	9	1
0	0	2	0	0	0	0	43	9	1
0	0	0	0	0	0	0	44	9	1
0	0	0	0	0	0	0	45	9	1
0	0	0	0	0	0	0	46	9	1
0	0	0	0	0	0	0	47	9	1
0	0	0	0	0	0	0	48	9	1
0	0	0	0	0	0	0	49	9	1
0	0	0	0	1	0	0	50	9	1
0	0	0	0	0	0	0	51	9	1
0	0	0	0	0	0	0	52	9	1
0	0	0	0	0	0	0	53	9	1
0	0	0	0	0	0	0	54	9	1
1	0	0	0	1	0	0	55	9	1
0	0	1	0	0	0	0	56	9	1
0	0	0	0	1	0	0	57	9	1
0	0	0	0	0	0	0	58	9	1
0	0	0	0	0	0	0	59	9	1
0	0	0	0	0	0	0	0	1	2
0	0	0	0	0	0	0	1	1	2
0	0	0	0	0	0	0	2	1	2
0	0	0	0	0	0	0	3	1	2
0	0	0	0	0	0	0	4	1	2
0	0	0	0	0	0	0	5	1	2
0	0	1	0	0	0	0	6	1	2
0	0	0	0	0	0	0	7	1	2
0	0	0	0	0	0	0	8	1	2
0	0	1	0	1	0	0	9	1	2
0	0	3	0	1	0	0	10	1	2
0	0	0	0	1	1	0	11	1	2
0	0	1	0	2	0	0	12	1	2
0	0	0	0	1	0	0	13	1	2
0	0	0	0	0	0	0	14	1	2
0	0	0	0	1	0	0	15	1	2
0	0	0	0	0	1	0	16	1	2
0	0	0	0	0	0	0	17	1	2
0	0	0	0	0	1	0	18	1	2
0	0	0	0	0	1	0	19	1	2
0	0	0	0	0	0	0	20	1	2
0	0	0	0	0	0	0	21	1	2
0	0	0	0	1	0	0	22	1	2
0	0	0	0	0	0	0	23	1	2
0	0	0	0	0	0	0	24	1	2
0	0	0	0	0	0	0	25	1	2
0	0	0	0	0	0	0	26	1	2
0	0	0	0	0	0	0	27	1	2
0	0	0	0	0	0	0	28	1	2
1	0	0	0	0	0	0	29	1	2
0	0	0	0	0	0	0	30	1	2
2	0	0	0	0	0	0	31	1	2
2	0	7	0	0	0	0	32	1	2
2	0	2	0	1	0	0	33	1	2
2	0	1	0	2	0	0	34	1	2
0	0	0	0	0	0	0	35	1	2
0	0	0	0	0	0	0	36	1	2
1	0	0	0	0	0	0	37	1	2
1	0	1	0	1	0	0	38	1	2
0	0	0	0	0	0	0	39	1	2
0	0	0	0	0	0	0	40	1	2
0	0	0	0	3	0	0	41	1	2
0	0	0	0	0	0	0	42	1	2
0	0	0	0	0	0	0	43	1	2
0	0	0	0	0	0	0	44	1	2
0	0	2	0	0	0	0	45	1	2
0	0	1	0	0	0	0	46	1	2
1	1	0	0	0	0	0	47	1	2
0	0	0	0	2	0	0	48	1	2
3	0	0	0	2	0	0	49	1	2
2	0	0	0	0	0	0	50	1	2
0	0	2	0	2	0	0	51	1	2
0	0	3	0	0	0	0	52	1	2
0	0	0	0	0	0	0	53	1	2
0	0	0	0	0	0	0	54	1	2
0	0	0	0	0	0	0	55	1	2
0	0	0	0	0	0	0	56	1	2
0	0	0	0	0	0	0	57	1	2
0	0	0	0	0	0	0	58	1	2
0	0	0	0	0	0	0	59	1	2
0	2	1	0	1	0	0	0	10	2
0	0	0	0	0	0	0	1	10	2
0	0	0	0	0	0	0	2	10	2
0	0	0	0	0	0	0	3	10	2
1	0	0	0	0	0	0	4	10	2
0	0	2	0	0	0	0	5	10	2
0	0	0	0	0	0	2	6	10	2
0	0	0	0	0	0	1	7	10	2
0	0	0	0	0	0	2	8	10	2
0	0	0	0	0	0	1	9	10	2
0	0	1	0	0	0	0	10	10	2
0	0	0	0	0	0	0	11	10	2
0	0	0	0	0	0	0	12	10	2
0	0	0	0	1	0	0	13	10	2
0	0	0	0	0	0	0	14	10	2
0	0	1	0	0	0	0	15	10	2
0	0	0	0	0	0	0	16	10	2
0	0	0	0	1	0	0	17	10	2
0	0	0	0	0	0	0	18	10	2
0	0	1	0	0	0	0	19	10	2
0	0	0	0	0	0	0	20	10	2
0	0	0	0	0	0	0	21	10	2
0	0	0	0	0	0	0	22	10	2
0	0	0	0	1	0	0	23	10	2
0	1	0	0	0	0	0	24	10	2
0	0	0	0	0	0	0	25	10	2
