time	anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear
365	0	3	6	0	0	0	5	0	3	0
366	0	0	6	0	6	2	10	1	5	0
367	0	3	8	1	1	0	10	0	2	0
368	0	3	3	0	1	0	3	0	7	0
369	1	2	5	0	3	1	10	1	10	0
370	1	1	15	5	6	2	17	1	10	0
371	0	2	4	0	2	0	10	0	6	0
372	1	3	3	0	3	0	21	0	4	0
373	0	1	5	0	1	0	1	0	3	0
374	0	1	7	1	6	3	12	1	0	0
375	4	2	13	2	7	2	31	0	9	1
376	0	3	8	1	3	3	21	4	6	0
377	1	7	5	0	3	2	14	1	4	0
378	0	5	6	0	7	2	14	0	3	2
379	0	1	0	0	0	0	0	0	2	0
380	2	2	11	0	2	3	10	0	3	0
381	1	2	2	1	2	1	3	0	2	0
382	2	2	10	1	3	1	17	0	2	0
383	0	0	12	1	4	1	17	1	8	0
384	3	0	15	0	4	2	26	1	7	1
385	2	1	10	0	4	2	17	0	8	0
386	0	2	9	1	2	3	15	0	6	1
387	1	0	5	0	6	1	10	1	6	0
388	1	3	2	1	6	1	26	0	10	0
389	1	3	5	3	4	2	13	1	6	0
390	1	1	2	0	8	2	3	0	2	0
391	0	2	11	0	7	0	18	0	7	1
392	1	4	4	0	5	1	10	0	6	0
393	0	5	9	0	9	1	9	1	7	1
394	1	1	9	1	3	2	8	1	1	0
395	1	0	11	0	6	2	14	0	3	0
396	2	6	9	0	4	3	13	0	7	0
397	1	2	6	1	3	2	18	1	3	1
398	0	4	3	1	3	0	19	0	6	0
399	1	6	8	3	8	1	16	0	8	0
400	0	3	3	1	4	0	14	0	3	0
401	2	2	10	0	8	1	17	0	6	1
402	3	1	12	2	4	3	23	0	9	0
403	2	6	9	1	4	1	20	0	8	0
404	2	3	4	1	1	2	17	0	8	1
405	0	1	0	0	0	0	1	0	1	0
406	1	3	0	1	2	0	13	0	3	0
407	0	2	6	1	3	0	17	0	5	0
408	2	9	9	1	3	2	14	0	8	0
409	1	6	7	1	5	3	10	0	3	1
410	2	4	4	3	3	3	12	0	8	1
411	2	4	8	0	7	1	13	0	8	1
412	0	3	11	2	6	1	14	0	5	0
413	0	1	6	2	3	0	13	0	4	0
414	0	2	9	0	5	0	14	0	10	1
415	0	1	6	0	4	0	6	0	0	0
416	1	1	5	0	0	2	1	0	0	0
417	0	1	8	0	2	2	20	1	9	0
418	3	2	9	0	0	3	4	0	2	2
419	2	1	8	0	8	0	4	0	6	2
420	1	2	10	0	6	2	35	1	8	0
421	3	1	17	2	6	4	16	1	4	0
422	1	3	9	0	3	1	8	1	7	2
423	0	2	3	0	4	0	8	0	4	0
424	0	0	7	0	9	0	12	0	3	0
425	0	0	7	1	7	0	8	0	6	0
426	1	3	3	0	1	2	11	1	1	0
427	1	4	4	0	3	1	9	0	7	1
428	2	2	4	0	3	2	22	0	4	0
429	3	2	3	0	2	0	17	0	5	0
430	2	3	8	0	5	3	11	2	2	0
431	0	0	0	0	0	0	0	0	0	0
432	1	2	4	1	4	0	7	0	6	1
433	1	9	4	0	4	2	24	2	14	0
434	0	0	11	0	11	0	16	0	3	1
435	0	3	6	0	9	1	16	1	10	2
436	3	3	5	0	4	6	14	0	6	1
437	1	5	7	2	6	2	22	0	2	0
438	3	1	11	0	7	1	22	0	4	0
439	0	1	13	0	9	0	19	0	7	1
440	0	1	7	1	7	0	13	0	7	0
441	2	1	4	0	8	3	14	1	7	2
442	0	5	5	1	5	0	14	0	4	0
443	0	3	3	1	1	1	14	0	17	0
444	3	4	4	0	0	7	13	2	3	0
445	0	0	0	0	1	0	7	0	1	0
446	0	2	12	1	5	0	19	0	10	0
447	0	0	6	0	3	0	20	1	8	0
448	0	1	4	5	2	2	15	2	10	4
449	1	2	13	0	2	1	17	0	8	0
450	0	3	6	0	1	1	9	0	2	0
451	1	2	6	1	4	2	8	0	7	0
452	0	1	10	1	7	0	11	0	8	0
453	1	4	21	0	7	0	13	0	7	1
454	1	4	6	1	3	4	26	2	5	0
455	2	5	9	0	5	3	13	2	1	0
456	0	1	16	0	5	0	13	0	4	1
457	3	3	5	1	4	0	22	0	9	1
458	7	5	12	3	7	7	18	0	10	0
459	0	6	3	1	2	0	15	0	3	0
460	0	2	7	0	7	0	11	1	2	0
461	1	2	7	3	9	2	23	1	9	0
462	0	2	16	0	7	2	9	0	6	0
463	1	0	9	2	8	1	25	0	6	1
464	1	2	19	0	4	2	8	0	6	2
465	1	1	12	0	10	0	11	0	7	2
466	0	1	7	0	3	0	20	0	8	0
467	1	6	10	1	5	1	16	1	2	0
468	3	3	8	0	7	1	22	1	1	1
469	0	6	10	0	6	0	6	0	5	2
470	2	5	8	0	13	3	16	0	1	0
471	2	3	9	0	2	1	21	0	11	4
472	0	2	6	0	2	0	10	0	6	0
473	1	1	2	0	1	1	12	1	1	0
474	1	3	19	2	5	2	22	1	8	0
475	0	2	4	0	2	1	5	0	6	0
476	0	1	10	0	7	1	11	1	3	0
477	1	1	1	0	0	1	10	0	5	0
478	7	1	13	1	6	4	17	0	6	0
479	1	2	16	1	5	2	11	1	5	0
480	0	8	9	0	7	0	17	0	10	2
481	3	6	5	0	5	3	17	0	4	1
482	0	1	2	0	3	0	8	0	5	1
483	0	4	15	0	5	0	14	0	5	1
484	0	0	0	0	0	0	1	0	0	0
485	0	4	4	2	1	0	8	0	4	0
486	2	1	1	0	1	1	10	0	4	1
487	2	2	9	0	3	3	14	1	3	1
488	1	0	6	0	4	0	8	1	2	2
489	4	5	8	0	4	3	9	1	3	1
490	1	4	3	0	4	1	20	0	10	1
491	0	2	10	0	3	0	8	0	4	0
492	0	5	10	0	6	0	6	0	4	0
493	2	0	9	0	3	2	19	1	6	0
494	4	1	11	1	3	1	19	0	8	0
495	0	0	3	0	1	0	3	0	6	1
496	0	0	1	0	0	0	0	0	2	0
497	1	6	1	0	0	1	13	3	1	0
498	0	6	7	0	4	0	16	0	15	1
499	2	4	7	0	7	2	15	0	6	2
500	1	1	2	0	1	0	2	0	1	1
501	0	0	6	2	3	2	15	1	4	0
502	3	3	4	0	3	2	9	1	0	0
503	5	1	5	0	2	2	2	0	4	4
504	2	2	5	0	4	3	8	1	3	0
505	1	1	9	0	6	1	8	0	8	2
506	4	3	6	0	1	5	14	2	1	0
507	0	1	4	1	0	0	10	0	3	0
508	1	0	9	0	8	0	9	0	1	1
509	0	4	7	0	0	0	9	0	6	1
510	0	0	0	0	0	0	12	1	1	0
511	2	7	18	1	13	2	30	0	16	2
512	0	0	0	0	0	0	3	0	0	0
513	0	3	7	1	1	0	7	0	1	0
514	1	2	11	2	1	1	25	0	7	0
515	2	6	11	0	4	2	19	1	8	1
516	0	2	7	4	7	1	16	1	5	0
517	0	1	4	0	4	0	18	0	9	2
518	3	3	8	0	10	1	19	1	12	2
519	0	2	9	0	1	0	15	0	4	0
520	0	1	9	0	3	0	13	0	5	2
521	6	10	3	0	1	5	11	1	4	1
522	2	3	8	1	2	2	6	0	2	0
523	0	3	10	1	6	0	23	1	11	0
524	4	5	13	5	5	2	15	0	10	4
525	5	7	15	0	9	3	10	4	7	2
526	1	8	13	2	5	0	15	0	10	1
527	3	6	8	0	5	3	12	0	8	1
528	3	4	5	0	0	2	9	1	2	1
529	0	0	1	1	0	0	0	0	0	0
530	0	0	7	0	4	0	12	0	8	0
531	0	4	6	0	2	0	10	0	2	0
532	1	2	7	0	1	1	7	0	0	0
533	0	2	3	0	1	1	8	1	4	0
534	0	0	1	0	0	0	2	0	0	0
535	0	0	4	3	1	1	4	1	7	0
536	1	0	6	0	4	0	13	0	3	0
537	0	2	1	0	0	0	2	0	0	0
538	0	0	3	0	0	0	9	0	1	0
539	0	0	1	0	0	0	0	0	0	0
540	1	2	3	0	0	1	8	0	0	0
541	0	0	0	0	0	0	0	0	0	0
542	0	0	3	0	3	0	16	0	0	0
543	0	2	3	0	8	0	15	0	4	0
544	0	2	7	0	3	0	12	0	1	0
545	0	1	7	0	3	0	6	0	2	0
546	2	2	7	2	4	5	18	1	10	1
547	4	3	10	0	8	5	20	0	4	0
548	0	0	4	0	1	0	3	0	4	0
549	2	6	8	0	1	3	7	1	5	0
550	3	5	6	1	4	2	14	1	5	0
551	0	0	6	0	2	0	7	0	0	0
552	0	3	6	5	0	1	14	0	4	0
553	2	4	12	2	2	3	10	1	9	5
554	3	3	9	3	3	3	10	1	3	0
555	2	4	9	2	5	2	16	0	7	0
556	0	0	4	1	5	0	6	0	1	1
557	2	4	1	0	1	1	19	0	5	0
558	2	5	10	0	7	1	7	0	5	0
559	0	2	4	0	5	0	12	0	3	0
560	2	5	6	1	3	1	20	0	5	0
561	0	0	11	1	3	0	21	0	3	2
562	2	3	3	1	3	2	2	0	1	0
563	1	1	16	0	3	1	9	0	1	0
564	2	2	1	0	5	3	8	1	2	0
565	0	1	7	1	2	0	3	0	1	0
566	1	2	11	1	5	1	16	0	7	0
567	0	0	0	0	0	0	0	0	0	0
568	0	5	3	0	2	0	4	0	5	0
569	0	2	14	1	3	0	12	1	5	1
570	0	1	10	0	5	1	12	1	9	1
571	1	2	8	0	4	4	17	2	7	1
572	0	2	13	0	3	0	20	0	3	2
573	0	0	7	1	7	0	12	0	3	0
574	1	3	11	0	7	1	23	2	7	0
575	0	2	9	1	5	0	22	1	7	0
576	3	2	9	2	3	3	25	1	0	0
577	3	1	13	0	5	4	10	0	3	0
578	1	4	10	2	6	3	8	1	7	0
579	5	4	3	0	0	2	16	0	7	1
580	0	6	2	0	2	0	9	0	1	0
581	0	5	3	0	0	0	5	0	5	0
582	1	3	4	0	1	1	11	0	1	0
583	0	1	6	0	2	1	15	1	4	4
584	0	2	9	0	3	0	10	0	9	1
585	3	2	3	0	6	4	19	2	10	2
586	0	2	4	1	5	0	10	0	2	3
587	2	2	13	0	6	2	15	0	1	0
588	1	1	6	0	1	1	8	0	3	0
589	2	2	2	0	0	0	18	0	4	0
590	2	3	2	0	2	2	19	0	4	0
591	2	3	11	0	4	1	17	0	6	1
592	2	2	11	0	6	0	14	1	7	3
593	0	4	3	0	2	0	7	0	2	0
594	1	1	8	0	4	0	9	0	3	0
595	4	8	7	0	2	2	12	1	7	1
596	0	0	0	0	0	0	0	0	0	0
597	1	0	5	0	0	1	5	0	0	0
598	2	2	13	0	4	4	24	0	6	0
599	0	0	2	0	0	1	6	0	1	0
600	1	3	10	0	5	2	31	1	7	2
601	0	3	21	1	6	1	31	0	3	0
602	4	4	9	0	3	3	21	1	3	2
603	2	7	7	1	4	2	12	0	2	0
604	0	2	6	0	2	0	9	0	2	0
605	1	7	2	1	7	2	7	0	5	0
606	0	0	1	0	0	0	4	1	4	0
607	0	5	3	0	3	1	12	1	6	1
608	0	0	2	0	0	1	3	1	1	0
609	0	5	8	0	2	0	5	0	2	0
610	9	11	5	1	11	4	24	0	7	0
611	3	1	7	0	4	3	13	0	0	0
612	2	2	8	2	2	3	17	1	5	0
613	2	7	10	1	6	3	16	1	1	0
614	4	5	10	0	3	3	23	0	3	1
615	0	2	8	1	4	0	20	1	4	1
616	0	4	6	0	1	0	15	1	3	0
617	0	0	1	0	0	0	2	0	1	0
618	1	3	5	1	2	0	2	0	4	1
619	2	2	4	0	3	0	7	0	10	0
620	3	2	13	0	6	4	16	2	2	1
621	1	1	9	1	3	0	14	0	5	1
622	0	0	2	1	1	0	2	0	0	0
